drug_name,side_effects,medical_condition
Symlin,"hives; difficulty breathing; swelling face, lips, tongue, throat. Call doctor have: severe ongoing nausea; severe hypoglycemia - headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. Common Symlin side effects may include: nausea, vomiting, loss appetite; headache.",Diabetes (Type 1)
Humulin 70/30,"redness swelling injection given, itchy skin rash entire body, trouble breathing, wheezing, rapid pulse, sweating, feeling like might pass out, swelling tongue throat. Call doctor have: fluid retention - weight gain, swelling hands feet, feeling short breath; low potassium - leg cramps, constipation, irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common Humulin 70/30 side effects may include: low blood sugar; itching, mild skin rash; thickening hollowing skin injected medicine.",Diabetes (Type 1)
insulin regular,"redness, swelling, sweating, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Call doctor have: low potassium - leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common insulin side effects may include: low blood sugar; swelling hands feet; weight gain; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Novolin N,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. Novolin N may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Novolin N may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Admelog,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Call doctor have: weight gain, swelling hands feet, feeling short breath; low blood sugar-- headache , hunger, sweating, irritability, dizziness , fast heart rate , feeling anxious shaky; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common Admelog side effects may include: low blood sugar; weight gain; swelling hands feet; itching; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Fiasp,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Fiasp may cause serious side effects. Call doctor have: heart problems--swelling, rapid weight gain, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Fiasp may include: low blood sugar; weight gain; low potassium; swelling hands feet; skin rash , itching, redness, swelling; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Novolin 70/30,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. Novolin 70/30 may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Novolin 70/30 may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humalog Mix 75/25,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Call doctor have: fluid retention - weight gain, swelling hands feet, feeling short breath; low potassium - leg cramps, constipation, irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common Humalog Mix side effects may include: low blood sugar; itching, mild skin rash; thickening hollowing skin injected medicine.",Diabetes (Type 1)
insulin glulisine,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Insulin glulisine may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects insulin glulisine may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Rezvoglar,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Blindness blurred vision cough hoarseness decreased vision diarrhea dizziness fever chills general feeling discomfort illness headache joint pain lower back side pain loss appetite muscle aches pains nausea nervousness painful difficult urination pounding ears runny nose shivering slow fast heartbeat sore throat sweating swelling hands, ankles, feet, lower legs trouble sleeping unusual tiredness weakness vomiting Incidence known Anxiety chest tightness cold sweats coma confusion cool, pale skin decreased urine depression depression thickening skin injection site difficulty swallowing dizziness, faintness, lightheadedness getting suddenly lying sitting position dry mouth fast heartbeat hives, itching, skin rash increased hunger increased thirst itching, pain, redness, swelling injection site large, hive-like swelling face, eyelids, lips, tongue, throat, hands, legs, feet, sex organs mood changes muscle cramps nightmares numbness tingling hands, feet, lips puffiness swelling eyelids around eyes, face, lips, tongue seizures shakiness slurred speech trouble breathing weight gain Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Body aches pain diarrhea difficulty moving discouragement ear congestion feeling sad empty irritability lack appetite loss interest pleasure loss voice muscle pain stiffness pain arms legs pain joints pain tenderness around eyes cheekbones sneezing stuffy runny nose tender, swollen glands neck trouble concentrating voice changes Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Rezvoglar side effects",Diabetes (Type 1)
Semglee,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Call doctor have: rapid weight gain, swelling feet ankles; shortness breath; low blood potassium - leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common Semglee side effects may include: low blood sugar; swelling, weight gain; allergic reaction, itching, rash; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Toujeo Max SoloStar,"WARNING/CAUTION: Even though may rare, people may bad sometimes deadly side effects taking drug. Tell doctor get medical help right away following signs symptoms may related bad side effect: Signs allergic reaction, like rash; hives ; itching; red, swollen, blistered, peeling skin without fever; wheezing; tightness chest throat; trouble breathing, swallowing, talking; unusual hoarseness; swelling mouth, face, lips, tongue, throat. Signs low potassium levels like muscle pain weakness, muscle cramps, heartbeat feel normal. Signs infection like fever, chills, bad sore throat , ear sinus pain, cough, sputum change color sputum, pain passing urine, mouth sores, wound heal. Change eyesight. Very bad dizziness passing out. Seizures. Thick skin, pits, lumps injection given. Shortness breath, big weight gain, swelling arms legs. Low mood ( depression ). Low blood sugar may occur. Signs may dizziness, headache , feeling sleepy, feeling weak, shaking, fast heartbeat , confusion, hunger, sweating. Call doctor right away signs occur. Follow told low blood sugar occurs. This may include taking glucose tablets, liquid glucose, fruit juices. Toujeo Max SoloStar side effects",Diabetes (Type 1)
Humulin R U-500 (Concentrated),"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Humulin R (Concentrated) may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Humulin R (Concentrated) may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
NovoLog Mix 70/30,"redness swelling injection given, itchy skin rash entire body, trouble breathing, wheezing, rapid pulse, sweating, feeling like might pass out, swelling tongue throat. NovoLog Mix 70/30 may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects NovoLog Mix 70/30 may include: low potassium; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
NovoLog PenFill,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. NovoLog PenFill may cause serious side effects. Call doctor have: heart problems--swelling, rapid weight gain, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects NovoLog PenFill may include: low blood sugar; weight gain; low potassium; swelling hands feet; skin rash , itching, redness, swelling; thickening hollowing skin injected medicine.",Diabetes (Type 1)
octreotide,"hives ; difficult breathing; swelling face, lips, tongue, throat. Octreotide may cause serious side effects. Call doctor have: severe constipation ; slow uneven heartbeats; signs gallstones --fever, chills, nausea , vomiting , severe pain upper stomach spreading back, dark urine, clay-colored stools, jaundice (yellowing skin eyes); high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low blood sugar -- headache , hunger, sweating, irritability, dizziness , fast heart rate , feeling anxious shaky; underactive thyroid --extreme tired feeling, dry skin , joint pain stiffness, muscle pain weakness, hoarse voice, feeling sensitive cold temperatures, weight gain. Common side effects octreotide may include: gallstones; nausea, vomiting, diarrhea, stomach pain, gas; headache, back pain ; dizziness, tiredness.",Diabetes (Type 1)
pramlintide,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Pramlintide may cause serious side effects. Call doctor have: severe ongoing nausea; severe hypoglycemia--headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. Common side effects pramlintide may include: nausea, vomiting, loss appetite; headache.",Diabetes (Type 1)
"insulin inhalation, rapid acting","redness swelling insulin injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, sweating, feeling like might pass out, swelling tongue throat. Insulin may cause serious side effects. Call doctor have: bronchospasm (wheezing, chest tightness, trouble breathing); fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects insulin may include: low blood sugar; cough; sore throat .",Diabetes (Type 1)
insulin isophane,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. Insulin isophane may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects insulin isophane may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
NovoLog Mix 70/30 FlexPen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, wheezing, rapid pulse, sweating, feeling like might pass out, swelling tongue throat. NovoLog Mix 70/30 FlexPen may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects NovoLog Mix 70/30 FlexPen may include: low potassium; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humulin N Pen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. HumuLIN N KwikPen may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects HumuLIN N KwikPen may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humulin R U-500 KwikPen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. HumuLIN R KwikPen (Concentrated) may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects HumuLIN R KwikPen (Concentrated) may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
insulin degludec,"Insulin degludec may cause serious side effects lead death, including: Low blood sugar (hypoglycemia). Signs symptoms may indicate low blood sugar include: dizziness light-headedness blurred vision anxiety, irritability, mood changes sweating slurred speech hunger confusion shakiness headache fast heartbeat Low potassium blood (hypokalemia). Heart failure. Taking certain diabetes pills called thiazolidinediones “TZDs” insulin degludec may cause heart failure people. This happen even never heart failure heart problems before. If already heart failure, may get worse take TZDs insulin degludec. Your healthcare provider monitor closely taking TZDs insulin degludec. Tell healthcare provider new worse symptoms heart failure including shortness breath, tiredness, swelling ankles feet sudden weight gain. Treatment TZDs insulin degludec may need adjusted stopped healthcare provider new worse heart failure. Your insulin dose may need change of: change level physical activity exercise weight gain loss increased stress illness change diet Common side effects insulin degludec may include: serious allergic reactions (whole body reactions) reactions injection site skin thickening pits injection site (lipodystrophy) itching rash swelling hands feet weight gain trouble breathing shortness breath fast heartbeat swelling face, tongue, throat sweating extreme drowsiness dizziness confusion These possible side effects insulin degludec. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Insulin degludec side effects",Diabetes (Type 1)
insulin isophane / insulin regular,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. Insulin isophane insulin regular may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects insulin isophane insulin regular may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Myxredlin,"redness, swelling, sweating, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Myxredlin may cause serious side effects. Call doctor have: low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Myxredlin may include: low blood sugar; swelling hands feet; weight gain; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humalog Mix 50/50,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Humalog Mix 50/50 may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Humalog Mix 50/50 may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humalog Mix 75/25 KwikPen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Humalog Mix 75/25 KwikPen may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Humalog Mix 75/25 KwikPen may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
insulin lispro/insulin lispro protamine,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Insulin lispro insulin lispro protamine may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects insulin lispro insulin lispro protamine may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Symlin Pen,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Anxiety blurred vision chills cold sweats coma confusion cool pale skin cough depression difficulty swallowing dizziness fast heartbeat headache hives, itching, skin rash increased hunger nausea nightmares puffiness swelling eyelids around eyes, face, lips, tongue seizures shakiness slurred speech tightness chest unusual tiredness weakness Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Difficulty moving inflicted injury loss appetite muscle pain stiffness pain joints stomach pain vomiting weight loss Less common Body aches pain congestion dryness soreness throat fever hoarseness runny nose tender, swollen glands neck voice changes Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Symlin Pen side effects",Diabetes (Type 1)
SymlinPen 60,"hives ; difficulty breathing; swelling face, lips, tongue, throat. SymlinPen 60 may cause serious side effects. Call doctor have: severe ongoing nausea; severe hypoglycemia--headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. Common side effects SymlinPen 60 may include: nausea, vomiting, loss appetite; headache.",Diabetes (Type 1)
SymlinPen 120,"hives ; difficulty breathing; swelling face, lips, tongue, throat. SymlinPen 120 may cause serious side effects. Call doctor have: severe ongoing nausea; severe hypoglycemia--headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. Common side effects SymlinPen 120 may include: nausea, vomiting, loss appetite; headache.",Diabetes (Type 1)
Humalog Mix 50/50 KwikPen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, fast heartbeats, feeling like might pass out, swelling tongue throat. Humalog Mix 50/50 KwikPen may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects Humalog Mix 50/50 KwikPen may include: low blood sugar; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
Humulin 50/50,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: Incidence known Anxiety bloating swelling face, arms, hands, lower legs, feet blurred vision chest tightness chills cold sweats coma confusion cool, pale skin cough decreased urine depression difficulty swallowing dizziness dry mouth fast heartbeat headache hives, itching, rash increased hunger increased thirst irregular heartbeat loss appetite mood changes muscle pain cramps nausea vomiting nightmares numbness tingling hands, feet, lips puffiness swelling eyelids around eyes, face, lips, tongue rapid weight gain seizures shakiness slurred speech tingling hands feet unusual tiredness weakness unusual weight gain loss Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: Incidence known Weight gain redness, swelling, itching injection site Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Humulin 50/50 side effects",Diabetes (Type 1)
Humulin 70/30 Pen,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. HumuLIN 70/30 KwikPen may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects HumuLIN 70/30 KwikPen may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
ReliOn/Novolin 70/30,"redness swelling injection given, itchy skin rash entire body, trouble breathing, chest tightness, feeling like might pass out, swelling tongue throat. ReliOn/Novolin 70/30 may cause serious side effects. Call doctor have: fluid retention --weight gain, swelling hands feet, feeling short breath; low potassium --leg cramps, constipation , irregular heartbeats, fluttering chest, increased thirst urination, numbness tingling, muscle weakness limp feeling. Common side effects ReliOn/Novolin 70/30 may include: low blood sugar; weight gain, swelling hands feet; itching, mild skin rash ; thickening hollowing skin injected medicine.",Diabetes (Type 1)
